Name,Sex,Age,Height,Weight,NOC,Year,Season,Sport,Event,Medals
Wang Lihong,F,25,168,63,CHN,1996,Summer,Softball,Softball Women's Softball,Silver
Wang Lina,F,18,181,75,CHN,1996,Summer,Volleyball,Volleyball Women's Volleyball,Silver
Wang Lina,F,26,181,75,CHN,2004,Summer,Volleyball,Volleyball Women's Volleyball,Gold
Wang Linwei,F,27,174,65,CHN,1984,Summer,Handball,Handball Women's Handball,Bronze
Wang Liping,F,22,162,52,CHN,1996,Summer,Football,Football Women's Football,Silver
Wang Liping,F,24,163,46,CHN,2000,Summer,Athletics,Athletics Women's 20 kilometres Walk,Gold
Wang Liqin,M,22,192,85,CHN,2000,Summer,Table Tennis,Table Tennis Men's Doubles,Gold
Wang Liqin,M,26,192,85,CHN,2004,Summer,Table Tennis,Table Tennis Men's Singles,Bronze
Wang Liqin,M,30,192,85,CHN,2008,Summer,Table Tennis,Table Tennis Men's Singles,Bronze
Wang Liqin,M,30,192,85,CHN,2008,Summer,Table Tennis,Table Tennis Men's Team,Gold
Wang Manli,F,32,167,67,CHN,2006,Winter,Speed Skating,Speed Skating Women's 500 metres,Silver
Wang Meng,F,20,167,60,CHN,2006,Winter,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Gold
Wang Meng,F,24,167,60,CHN,2010,Winter,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Gold
Wang Mingjuan,F,26,150,48,CHN,2012,Summer,Weightlifting,Weightlifting Women's Flyweight,Gold
Wang Mingxing,F,22,173,70,CHN,1984,Summer,Handball,Handball Women's Handball,Bronze
Wang Na,F,24,172,58,CHN,2008,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Wang Nan,F,21,166,60,CHN,2000,Summer,Table Tennis,Table Tennis Women's Singles,Gold
Wang Nan,F,21,166,60,CHN,2000,Summer,Table Tennis,Table Tennis Women's Doubles,Gold
Wang Nan,F,25,166,60,CHN,2004,Summer,Table Tennis,Table Tennis Women's Doubles,Gold
Wang Nan,F,29,166,60,CHN,2008,Summer,Table Tennis,Table Tennis Women's Singles,Silver
Wang Nan,F,29,166,60,CHN,2008,Summer,Table Tennis,Table Tennis Women's Team,Gold
Wang Shun,M,22,191,74,CHN,2016,Summer,Swimming,Swimming Men's 200 metres Individual Medley,Bronze
Wang Tao,M,24,164,70,CHN,1992,Summer,Table Tennis,Table Tennis Men's Doubles,Gold
Wang Tao,M,28,164,70,CHN,1996,Summer,Table Tennis,Table Tennis Men's Singles,Silver
Wang Tao,M,28,164,70,CHN,1996,Summer,Table Tennis,Table Tennis Men's Doubles,Silver
Wang Xianbo,F,19,169,67,CHN,1996,Summer,Judo,Judo Women's Middleweight,Bronze
Wang Xiaohong,F,23,172,66,CHN,1992,Summer,Swimming,Swimming Women's 200 metres Butterfly,Silver
Wang Xiaozhu,F,19,176,63,CHN,1992,Summer,Archery,Archery Women's Team,Silver
Wang Xin (Ruoxue-),F,15,137,28,CHN,2008,Summer,Diving,Diving Women's Platform,Bronze
Wang Xin (Ruoxue-),F,15,137,28,CHN,2008,Summer,Diving,Diving Women's Synchronized Platform,Gold
Wang Yajun,F,26,182,73,CHN,1988,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Wang Yan,F,16,140,33,CHN,2016,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Wang Yan,F,25,170,52,CHN,1996,Summer,Athletics,Athletics Women's 10 kilometres Walk,Bronze
Wang Yi,F,23,189,79,CHN,1996,Summer,Volleyball,Volleyball Women's Volleyball,Silver
Wang Yihan,F,24,178,65,CHN,2012,Summer,Badminton,Badminton Women's Singles,Silver
Wang Yimei,F,20,190,90,CHN,2008,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Wang Ying,F,27,172,63,CHN,1996,Summer,Softball,Softball Women's Softball,Silver
Wang Zhen,M,20,180,62,CHN,2012,Summer,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Wang Zhen,M,24,180,62,CHN,2016,Summer,Athletics,Athletics Men's 20 kilometres Walk,Gold
Wang Zheng,M,25,183,70,CHN,2004,Summer,Shooting,Shooting Men's Double Trap,Bronze
Wang Ziling,F,24,182,75,CHN,1996,Summer,Volleyball,Volleyball Women's Volleyball,Silver
Robert Napunyi Wangila,M,22,175,66,KEN,1988,Summer,Boxing,Boxing Men's Welterweight,Gold
Andrs Wani,M,21,185,,HUN,1932,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
"Samuel Kamau ""Sammy"" Wanjiru",M,21,163,51,KEN,2008,Summer,Athletics,Athletics Men's Marathon,Gold
David Colin Wansbrough,M,27,172,70,AUS,1992,Summer,Hockey,Hockey Men's Hockey,Silver
Harry Warburton,M,34,,115,SUI,1956,Winter,Bobsleigh,Bobsleigh Men's Two,Bronze
Andre Ward,M,20,185,80,USA,2004,Summer,Boxing,Boxing Men's Light-Heavyweight,Gold
Catherine Ward,F,22,168,67,CAN,2010,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Catherine Ward,F,26,168,67,CAN,2014,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Dean Martin Ward,M,34,173,87,GBR,1998,Winter,Bobsleigh,Bobsleigh Men's Four,Bronze
Natalie Anne Ward,F,20,168,64,AUS,1996,Summer,Softball,Softball Women's Softball,Bronze
Natalie Anne Ward,F,24,168,64,AUS,2000,Summer,Softball,Softball Women's Softball,Bronze
Natalie Anne Ward,F,28,168,64,AUS,2004,Summer,Softball,Softball Women's Softball,Silver
Natalie Anne Ward,F,32,168,64,AUS,2008,Summer,Softball,Softball Women's Softball,Bronze
William Dudley Ward,M,30,,,GBR,1908,Summer,Sailing,Sailing Mixed 8 metres,Bronze
Hugh Arthur Wardell-Yerburgh,M,26,189,83,GBR,1964,Summer,Rowing,Rowing Men's Coxless Fours,Silver
Archibald Adam Warden,M,31,,,GBR,1900,Summer,Tennis,Tennis Mixed Doubles,Bronze
Kusuma Wardhani,F,24,153,48,INA,1988,Summer,Archery,Archery Women's Team,Silver
Jeremy Matthew Wariner,M,20,188,71,USA,2004,Summer,Athletics,Athletics Men's 400 metres,Gold
Jeremy Matthew Wariner,M,20,188,71,USA,2004,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Jeremy Matthew Wariner,M,24,188,71,USA,2008,Summer,Athletics,Athletics Men's 400 metres,Silver
Jeremy Matthew Wariner,M,24,188,71,USA,2008,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
"Kenneth Christopher ""Ken"" Wark",M,30,185,85,AUS,1992,Summer,Hockey,Hockey Men's Hockey,Silver
"Kenneth Christopher ""Ken"" Wark",M,34,185,85,AUS,1996,Summer,Hockey,Hockey Men's Hockey,Bronze
Mark Warnecke,M,26,187,100,GER,1996,Summer,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
Anne Elizabeth Taubes Warner,F,21,173,68,USA,1976,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
Anne Kindel Warner (-Cribbs),F,15,170,63,USA,1960,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Damian Warner,M,26,185,83,CAN,2016,Summer,Athletics,Athletics Men's Decathlon,Bronze
Karl DeWitt Warner,M,24,176,71,USA,1932,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
"Oskar Alfred Daniel ""Fred"" Warngrd",M,29,,,SWE,1936,Summer,Athletics,Athletics Men's Hammer Throw,Bronze
"Rudolf ""Tito"" Warnholtz",M,30,,,GER,1936,Summer,Hockey,Hockey Men's Hockey,Silver
Alan Kemp Warren,M,36,178,73,GBR,1972,Summer,Sailing,Sailing Mixed Two Person Keelboat,Silver
Jonas Warrer,M,29,181,77,DEN,2008,Summer,Sailing,Sailing Mixed Skiff,Gold
Michael Henry Warriner,M,19,,,GBR,1928,Summer,Rowing,Rowing Men's Coxless Fours,Gold
Todd Warriner,M,20,185,84,CAN,1994,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Justin Warsylewicz,M,20,175,73,CAN,2006,Winter,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver
Julien Victor Wartelle,M,31,,,FRA,1920,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Paul Wartelle,M,28,,,FRA,1920,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Frank Wartenberg,M,21,185,71,GDR,1976,Summer,Athletics,Athletics Men's Long Jump,Bronze
Philip Waruinge,M,23,170,57,KEN,1968,Summer,Boxing,Boxing Men's Featherweight,Bronze
Philip Waruinge,M,27,170,57,KEN,1972,Summer,Boxing,Boxing Men's Featherweight,Silver
Hugo Waser,M,32,190,84,SUI,1968,Summer,Rowing,Rowing Men's Coxed Fours,Bronze
Stephan Waser,M,31,,,SUI,1952,Winter,Bobsleigh,Bobsleigh Men's Two,Bronze
Stephan Waser,M,31,,,SUI,1952,Winter,Bobsleigh,Bobsleigh Men's Four,Bronze
"Alan Morgan ""Al"" Washbond",M,36,,,USA,1936,Winter,Bobsleigh,Bobsleigh Men's Two,Gold
Mary Trainor Washburn (-Conklin),F,20,,,USA,1928,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Konrad Wasielewski,M,23,194,91,POL,2008,Summer,Rowing,Rowing Men's Quadruple Sculls,Gold
Markus Wasmeier,M,30,180,73,GER,1994,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Markus Wasmeier,M,30,180,73,GER,1994,Winter,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
Thomas Lars Wassberg,M,23,185,75,SWE,1980,Winter,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Gold
Thomas Lars Wassberg,M,27,185,75,SWE,1984,Winter,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
Thomas Lars Wassberg,M,27,185,75,SWE,1984,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Thomas Lars Wassberg,M,31,185,75,SWE,1988,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
Folke Viktor Wassn,M,34,,,SWE,1952,Summer,Sailing,Sailing Mixed 5.5 metres,Bronze
Sten Magnus Wassn,M,31,,,SWE,1952,Summer,Sailing,Sailing Mixed 5.5 metres,Bronze
Markus Wasser,M,29,186,95,SUI,1998,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
Katsumi Watanabe,M,30,183,79,JPN,1992,Summer,Baseball,Baseball Men's Baseball,Bronze
Kazumi Watanabe,M,44,175,76,JPN,1992,Summer,Shooting,Shooting Mixed Trap,Silver
Kazuo Watanabe,M,22,168,66,JPN,1960,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Masashi Watanabe,M,32,175,72,JPN,1968,Summer,Football,Football Men's Football,Bronze
Natasha Watcham-Roy,F,24,170,67,CAN,2016,Summer,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Bronze
Tara Leigh-Anne Watchorn,F,23,178,76,CAN,2014,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Peter Graham Waterfield,M,23,167,65,GBR,2004,Summer,Diving,Diving Men's Synchronized Platform,Silver
Jason Waterhouse,M,24,185,75,AUS,2016,Summer,Sailing,Sailing Mixed Multihull,Silver
"Anthony ""Tony"" Waters",M,36,175,73,AUS,1964,Summer,Hockey,Hockey Men's Hockey,Bronze
Natasha Watley,F,22,175,78,USA,2004,Summer,Softball,Softball Women's Softball,Gold
Natasha Watley,F,26,175,78,USA,2008,Summer,Softball,Softball Women's Softball,Silver
"Deborah Kathleen ""Debbie"" Watson",F,34,178,71,AUS,2000,Summer,Water Polo,Water Polo Women's Water Polo,Gold
"Harold Ellis ""Harry"" Watson",M,25,,,CAN,1924,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Jill Marilynn Watson,F,24,150,42,USA,1988,Winter,Figure Skating,Figure Skating Mixed Pairs,Bronze
"Joshua John ""Josh"" Watson",M,23,184,80,AUS,2000,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Leroy Denver Watson,M,23,175,63,GBR,1988,Summer,Archery,Archery Men's Team,Bronze
Linda Margaret Watson,F,24,165,63,ZIM,1980,Summer,Hockey,Hockey Women's Hockey,Gold
"Lynette Pamela ""Lynne"" Watson (-Bates)",F,15,172,60,AUS,1968,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Marcus China Watson,M,25,177,88,GBR,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
"Lillian Debra ""Pokey"" Watson (-Richardson)",F,14,175,66,USA,1964,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
"Lillian Debra ""Pokey"" Watson (-Richardson)",F,14,175,66,USA,1964,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
"Lillian Debra ""Pokey"" Watson (-Richardson)",F,18,175,66,USA,1968,Summer,Swimming,Swimming Women's 200 metres Backstroke,Gold
"Robert McDonald ""Bob"" Watt",M,24,,,CAN,1952,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
"Mitchell ""Mitch"" Watt",M,24,184,83,AUS,2012,Summer,Athletics,Athletics Men's Long Jump,Silver
Quincy Dushawn Watts,M,22,190,88,USA,1992,Summer,Athletics,Athletics Men's 400 metres,Gold
Quincy Dushawn Watts,M,22,190,88,USA,1992,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Siegmar Wtzlich,M,24,175,72,GDR,1972,Summer,Football,Football Men's Football,Bronze
Stanislas Wawrinka,M,23,183,79,SUI,2008,Summer,Tennis,Tennis Men's Doubles,Gold
Henryk Wawrowski,M,26,171,80,POL,1976,Summer,Football,Football Men's Football,Silver
Marshall Wayne,M,24,,,USA,1936,Summer,Diving,Diving Men's Springboard,Silver
Marshall Wayne,M,24,,,USA,1936,Summer,Diving,Diving Men's Platform,Gold
Mary Alice Wayte (-Bradburne),F,19,174,58,USA,1984,Summer,Swimming,Swimming Women's 200 metres Freestyle,Gold
Mary Alice Wayte (-Bradburne),F,19,174,58,USA,1984,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Mary Alice Wayte (-Bradburne),F,23,174,58,USA,1988,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Mary Alice Wayte (-Bradburne),F,23,174,58,USA,1988,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Tomasz Wojciech Wadoch,M,21,187,80,POL,1992,Summer,Football,Football Men's Football,Silver
Ola Wrhaug,M,30,175,65,NOR,1968,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
Arthur Yancey Wear,M,24,,,USA,1904,Summer,Tennis,Tennis Men's Doubles,Bronze
Joseph Walker Wear,M,27,,,USA,1904,Summer,Tennis,Tennis Men's Doubles,Bronze
Casey McGhee Weathers,M,23,185,99,USA,2008,Summer,Baseball,Baseball Men's Baseball,Bronze
Teresa Gaye Weatherspoon,F,22,172,70,USA,1988,Summer,Basketball,Basketball Women's Basketball,Gold
Teresa Gaye Weatherspoon,F,26,172,70,USA,1992,Summer,Basketball,Basketball Women's Basketball,Bronze
"Katherine Marie ""Katie"" Weatherston",F,22,163,66,CAN,2006,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Andrew Teisher Weaver,M,25,183,73,USA,1984,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
"Jeffrey Charles ""Jeff"" Weaver",M,19,195,91,USA,1996,Summer,Baseball,Baseball Men's Baseball,Bronze
"Ernest James ""Ernie"" Webb",M,34,174,68,GBR,1908,Summer,Athletics,Athletics Men's 10 mile Walk,Silver
"Ernest James ""Ernie"" Webb",M,38,174,68,GBR,1912,Summer,Athletics,Athletics Men's 10 kilometres Walk,Silver
Hollie Webb,F,25,165,65,GBR,2016,Summer,Hockey,Hockey Women's Hockey,Gold
"Russell Irving ""Russ"" Webb",M,27,188,88,USA,1972,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Sarah Kathleen Webb (-Gosling),F,27,176,68,GBR,2004,Summer,Sailing,Sailing Women's Three Person Keelboat,Gold
Sarah Kathleen Webb (-Gosling),F,31,176,68,GBR,2008,Summer,Sailing,Sailing Women's Three Person Keelboat,Gold
Violet Blanche Webb (-Simpson),F,17,173,60,GBR,1932,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
"William ""Wally"" Webb",M,25,,,GBR,1908,Summer,Boxing,Boxing Men's Bantamweight,Bronze
Tammy June Webb-Liley,F,27,180,68,USA,1992,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Carlos Javier Weber,M,22,180,77,ARG,1988,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
Gerd Weber,M,20,180,74,GDR,1976,Summer,Football,Football Men's Football,Gold
"Harold ""Harry"" Weber",M,22,,,USA,1904,Summer,Golf,Golf Men's Team,Bronze
"Judith ""Jutta"" Weber (-Meeuw)",F,18,169,55,FRG,1972,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
"Judith ""Jutta"" Weber (-Meeuw)",F,18,169,55,FRG,1972,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Marc Weber,M,24,191,91,GER,1996,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Peter Weber,M,25,161,60,GER,1964,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Peter Weber,M,29,161,60,GDR,1968,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Regina Weber (-San),F,21,173,50,FRG,1984,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Bronze
Shea Michael Weber,M,24,193,104,CAN,2010,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Shea Michael Weber,M,28,193,104,CAN,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Wilhelm Weber,M,,,,GER,1904,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Silver
Garrett Weber-Gale,M,23,188,82,USA,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Garrett Weber-Gale,M,23,188,82,USA,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Wolfgang Webner,M,35,190,89,GDR,1972,Summer,Volleyball,Volleyball Men's Volleyball,Silver
"Robert David ""Bob"" Webster",M,21,175,63,USA,1960,Summer,Diving,Diving Men's Platform,Gold
"Robert David ""Bob"" Webster",M,25,175,63,USA,1964,Summer,Diving,Diving Men's Platform,Gold
"Rowena ""Rowie"" Webster",F,24,178,80,AUS,2012,Summer,Water Polo,Water Polo Women's Water Polo,Bronze
Sam Webster,M,25,183,80,NZL,2016,Summer,Cycling,Cycling Men's Team Sprint,Silver
Thomas Campbell Webster,M,22,,,USA,1932,Summer,Sailing,Sailing Mixed 8 metres,Gold
Andreas Wecker,M,18,160,62,GDR,1988,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Andreas Wecker,M,22,160,62,GER,1992,Summer,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
Andreas Wecker,M,22,160,62,GER,1992,Summer,Gymnastics,Gymnastics Men's Rings,Bronze
Andreas Wecker,M,22,160,62,GER,1992,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
Andreas Wecker,M,26,160,62,GER,1996,Summer,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Edit Weckinger-Pernyi (Vsrhelyi-),F,25,,,HUN,1948,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
Edit Weckinger-Pernyi (Vsrhelyi-),F,29,,,HUN,1952,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
Edit Weckinger-Pernyi (Vsrhelyi-),F,29,,,HUN,1952,Summer,Gymnastics,Gymnastics Women's Team Portable Apparatus,Bronze
"James Edward ""Jim"" Wedderburn",M,22,178,73,WIF,1960,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Gustav Weder,M,30,190,93,SUI,1992,Winter,Bobsleigh,Bobsleigh Men's Two,Gold
Gustav Weder,M,30,190,93,SUI,1992,Winter,Bobsleigh,Bobsleigh Men's Four,Bronze
Gustav Weder,M,32,190,93,SUI,1994,Winter,Bobsleigh,Bobsleigh Men's Two,Gold
Gustav Weder,M,32,190,93,SUI,1994,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
Thomas Grenfell Wedge,M,26,,,GBR,1908,Summer,Rugby,Rugby Men's Rugby,Silver
"James Higginson ""Jim"" Weekes",M,36,,,USA,1948,Summer,Sailing,Sailing Mixed 6 metres,Gold
"Elizabeth Jane ""Liz"" Weekes",F,28,180,68,AUS,2000,Summer,Water Polo,Water Polo Women's Water Polo,Gold
Ferry Weertman,M,24,189,86,NED,2016,Summer,Swimming,Swimming Men's 10 kilometres Open Water,Gold
Henri Weewauters,M,32,,,BEL,1908,Summer,Sailing,Sailing Mixed 6 metres,Silver
Henri Weewauters,M,44,,,BEL,1920,Summer,Sailing,Sailing Mixed 8 metres,Bronze
mile Robert Wegelin,M,24,,,FRA,1900,Summer,Rowing,Rowing Men's Coxed Fours,Silver
Karl Magnus Wegelius,M,23,,,FIN,1908,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Froukje Wegman,F,25,177,70,NED,2004,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
Axel Henry Wegner,M,25,179,90,GDR,1988,Summer,Shooting,Shooting Mixed Skeet,Gold
Gudrun Wegner (-Wnsche),F,17,175,65,GDR,1972,Summer,Swimming,Swimming Women's 400 metres Freestyle,Bronze
Ulrich Wehling,M,19,183,79,GDR,1972,Winter,Nordic Combined,Nordic Combined Men's Individual,Gold
Ulrich Wehling,M,23,183,79,GDR,1976,Winter,Nordic Combined,Nordic Combined Men's Individual,Gold
Ulrich Wehling,M,27,183,79,GDR,1980,Winter,Nordic Combined,Nordic Combined Men's Individual,Gold
Mariechen M. Wehselau (-Jackson),F,17,,,USA,1924,Summer,Swimming,Swimming Women's 100 metres Freestyle,Silver
Mariechen M. Wehselau (-Jackson),F,17,,,USA,1924,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Wei Haiying,F,25,165,53,CHN,1996,Summer,Football,Football Women's Football,Silver
Wei Ning,F,22,167,60,CHN,2004,Summer,Shooting,Shooting Women's Skeet,Silver
Wei Ning,F,29,167,60,CHN,2012,Summer,Shooting,Shooting Women's Skeet,Silver
Wei Qiang,F,24,170,65,CHN,1996,Summer,Softball,Softball Women's Softball,Silver
Wei Qiuyue,F,19,182,65,CHN,2008,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Wei Qiuyue,F,27,182,65,CHN,2016,Summer,Volleyball,Volleyball Women's Volleyball,Gold
Wei Yili,F,26,175,68,CHN,2008,Summer,Badminton,Badminton Women's Doubles,Bronze
Andrew Weibrecht,M,24,170,86,USA,2010,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
Andrew Weibrecht,M,27,170,86,USA,2014,Winter,Alpine Skiing,Alpine Skiing Men's Super G,Silver
Konrad Weichert,M,34,178,90,GDR,1968,Summer,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Konrad Weichert,M,38,178,90,GDR,1972,Summer,Sailing,Sailing Mixed Three Person Keelboat,Silver
"Cyril Anthony ""Cy"" Weidenborner",M,25,167,64,USA,1920,Summer,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Karl Weidmann,M,21,,,SUI,1952,Summer,Rowing,Rowing Men's Coxed Fours,Silver
Andrea Sybille Weiermann-Lietz,F,25,163,54,FRG,1984,Summer,Hockey,Hockey Women's Hockey,Silver
Birte Weigang (-Rode),F,20,176,70,GDR,1988,Summer,Swimming,Swimming Women's 100 metres Butterfly,Silver
Birte Weigang (-Rode),F,20,176,70,GDR,1988,Summer,Swimming,Swimming Women's 200 metres Butterfly,Silver
Birte Weigang (-Rode),F,20,176,70,GDR,1988,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Horst Weigang,M,24,185,84,GER,1964,Summer,Football,Football Men's Football,Bronze
Ronald Weigel,M,29,176,63,GDR,1988,Summer,Athletics,Athletics Men's 20 kilometres Walk,Silver
Ronald Weigel,M,29,176,63,GDR,1988,Summer,Athletics,Athletics Men's 50 kilometres Walk,Silver
Ronald Weigel,M,32,176,63,GER,1992,Summer,Athletics,Athletics Men's 50 kilometres Walk,Bronze
Liane Weigelt-Buhr,F,20,154,42,GDR,1976,Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
Liane Weigelt-Buhr,F,24,154,42,GDR,1980,Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
"Douglas Daniel ""Doug"" Weight",M,31,180,91,USA,2002,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
David John Weightman,M,24,193,94,AUS,1996,Summer,Rowing,Rowing Men's Coxless Pairs,Silver
Saul Weigopwa,M,18,175,71,NGR,2004,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Albert Paul Mose Weil,M,39,,,FRA,1920,Summer,Sailing,Sailing Mixed 6.5 metres,Silver
Kerry Pauline Weiland,F,29,163,62,USA,2010,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
"David Lawson ""Dave"" Weill",M,22,200,120,USA,1964,Summer,Athletics,Athletics Men's Discus Throw,Bronze
Richard Weinberger,M,22,184,72,CAN,2012,Summer,Swimming,Swimming Men's 10 kilometres Open Water,Bronze
Donna L. Weinbrecht,F,26,162,55,USA,1992,Winter,Freestyle Skiing,Freestyle Skiing Women's Moguls,Gold
Hermann Otto Ludwig Weingrtner,M,31,,,GER,1896,Summer,Gymnastics,Gymnastics Men's Horse Vault,Bronze
Hermann Otto Ludwig Weingrtner,M,31,,,GER,1896,Summer,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Hermann Otto Ludwig Weingrtner,M,31,,,GER,1896,Summer,Gymnastics,Gymnastics Men's Rings,Silver
Hermann Otto Ludwig Weingrtner,M,31,,,GER,1896,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
"Johannes-Maximilian ""Max"" Weinhold",M,26,196,100,GER,2008,Summer,Hockey,Hockey Men's Hockey,Gold
"Johannes-Maximilian ""Max"" Weinhold",M,30,196,100,GER,2012,Summer,Hockey,Hockey Men's Hockey,Gold
Steffen Weinhold,M,30,191,94,GER,2016,Summer,Handball,Handball Men's Handball,Bronze
Paul Ludwig Weinstein,M,26,,,GER,1904,Summer,Athletics,Athletics Men's High Jump,Bronze
Ulf Weinstock,M,27,180,82,SWE,1980,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Amanda Jo Weir (-Davis),F,18,188,77,USA,2004,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Amanda Jo Weir (-Davis),F,18,188,77,USA,2004,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Amanda Jo Weir (-Davis),F,26,188,77,USA,2012,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Amanda Jo Weir (-Davis),F,30,188,77,USA,2016,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Warren Antonio Weir,M,22,178,75,JAM,2012,Summer,Athletics,Athletics Men's 200 metres,Bronze
Bianca Margot Wei (-Heinz),F,24,166,57,GER,1992,Summer,Hockey,Hockey Women's Hockey,Silver
Frdric Jean Santo Weis,M,23,218,110,FRA,2000,Summer,Basketball,Basketball Men's Basketball,Silver
Gisela Wei (-Engelhardt),F,16,165,61,GER,1960,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
