Name,Sex,Age,Height,Weight,NOC,Year,Season,Sport,Event,Medals
Donat Acklin,M,26,190,99,SUI,1992,Winter,Bobsleigh,Bobsleigh Men's Four,Bronze
Donat Acklin,M,28,190,99,SUI,1994,Winter,Bobsleigh,Bobsleigh Men's Two,Gold
Donat Acklin,M,28,190,99,SUI,1994,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
Guido Acklin,M,24,200,104,SUI,1994,Winter,Bobsleigh,Bobsleigh Men's Two,Silver
Lautaro Germn Acosta,M,20,168,72,ARG,2008,Summer,Football,Football Men's Football,Gold
Osmay Acosta Duarte,M,23,188,91,CUB,2008,Summer,Boxing,Boxing Men's Heavyweight,Bronze
Martn Ral Acosta y Lara Daz,M,27,,,URU,1952,Summer,Basketball,Basketball Men's Basketball,Bronze
Kazimierz Piotr Adach,M,23,162,60,POL,1980,Summer,Boxing,Boxing Men's Lightweight,Bronze
"Gordon Belgum ""Gordy"" Adam",M,21,,,USA,1936,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Ji Adam,M,25,187,83,TCH,1976,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
"Michael B. ""Mike"" Adam",M,24,175,95,CAN,2006,Winter,Curling,Curling Men's Curling,Gold
Dariusz Adamczuk,M,22,179,78,POL,1992,Summer,Football,Football Men's Football,Silver
"Benjamin Willard ""Ben"" Adams",M,22,188,78,USA,1912,Summer,Athletics,Athletics Men's Standing High Jump,Silver
"Benjamin Willard ""Ben"" Adams",M,22,188,78,USA,1912,Summer,Athletics,Athletics Men's Standing Long Jump,Bronze
Edgar Holmes Adams,M,36,,,USA,1904,Summer,Swimming,Swimming Men's Plunge For Distance,Silver
Adrian Neil Adams,M,21,178,78,GBR,1980,Summer,Judo,Judo Men's Lightweight,Silver
Adrian Neil Adams,M,25,178,78,GBR,1984,Summer,Judo,Judo Men's Half-Middleweight,Silver
Nicola Virginia Adams,F,29,164,51,GBR,2012,Summer,Boxing,Boxing Women's Flyweight,Gold
Nicola Virginia Adams,F,33,164,51,GBR,2016,Summer,Boxing,Boxing Women's Flyweight,Gold
Platt Adams,M,27,188,78,USA,1912,Summer,Athletics,Athletics Men's Standing High Jump,Gold
Platt Adams,M,27,188,78,USA,1912,Summer,Athletics,Athletics Men's Standing Long Jump,Silver
Rachael Alexis Adams,F,26,188,81,USA,2016,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
